time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-07-21,27.2,24.6,32.6,28.8,2018-07-21 05:33,2018-07-21 17:17,18.88,3.2,0,16.6,28.4,135,3.36,0,u
2018-07-22,26.4,24.4,30.6,28.8,2018-07-22 05:33,2018-07-22 17:17,16.85,2.6,0,17.9,27.4,138,2.93,0,u
2018-07-23,26.6,24.5,30.8,27.8,2018-07-23 05:33,2018-07-23 17:17,18.05,1.3,0,20.2,32.4,125,3.13,0,u
2018-07-24,26.9,23.7,30.4,26.5,2018-07-24 05:33,2018-07-24 17:17,20.99,0,0,21.7,33.5,122,3.91,0,u
2018-07-25,26.9,23.2,29.4,26.3,2018-07-25 05:32,2018-07-25 17:17,19.33,0,0,23.5,36,130,3.63,0,u
2018-07-26,26.6,23.7,29.5,26.9,2018-07-26 05:32,2018-07-26 17:18,18.27,0.1,0,22.1,34.6,138,3.41,0,u
2018-07-27,26.4,23.7,29.4,27.1,2018-07-27 05:32,2018-07-27 17:18,18.09,0.1,0,22.6,35.3,137,3.29,0,u
2018-07-28,25.7,23.8,28.4,27.4,2018-07-28 05:32,2018-07-28 17:18,16.33,5.6,0,21.9,34.9,140,2.99,0,u
2018-07-29,27.1,23.8,30.2,26.8,2018-07-29 05:32,2018-07-29 17:18,19.07,0.3,0,20.6,33.8,134,3.59,0,u
2018-07-30,27,24.1,30.8,27.9,2018-07-30 05:32,2018-07-30 17:18,20.81,0,0,20.4,30.6,132,3.75,0,u
2018-07-31,26.7,24.2,31.3,27.9,2018-07-31 05:31,2018-07-31 17:18,19.71,2.2,0,17.9,29.2,130,3.43,0,u
2018-08-01,26,23.2,30.3,26.9,2018-08-01 05:31,2018-08-01 17:18,19.5,3.1,0,16.7,28.1,143,3.36,0,u
2018-08-02,25.2,23.2,27.5,24.9,2018-08-02 05:31,2018-08-02 17:18,21.39,2.6,0,18.5,34.9,150,4.12,0,u
2018-08-03,24.1,22.3,25.8,23.7,2018-08-03 05:31,2018-08-03 17:18,17.49,2.1,0,19.2,34.9,149,3.31,0,u
2018-08-04,24.4,22.4,26.6,24.3,2018-08-04 05:31,2018-08-04 17:18,15.77,2.7,0,18.3,31.7,143,2.93,0,u
2018-08-05,23.8,21.8,25.7,24.2,2018-08-05 05:30,2018-08-05 17:19,14.17,7.9,0,16.4,31,151,2.67,0,u
2018-08-06,25.5,22.8,27.2,24.7,2018-08-06 05:30,2018-08-06 17:19,18.67,0.5,0,25,40.3,130,3.56,0,u
2018-08-07,26.6,22.8,29.4,25.1,2018-08-07 05:30,2018-08-07 17:19,19.77,2.6,0,23.3,37.4,127,3.73,0,u
2018-08-08,27.3,23.8,30.7,26.5,2018-08-08 05:29,2018-08-08 17:19,20.69,0,0,21.6,35.6,124,3.81,0,u
2018-08-09,26.9,24,31.9,28.6,2018-08-09 05:29,2018-08-09 17:19,21.31,0,0,18.3,28.1,136,3.73,0,u
2018-08-10,26.5,23.8,30,27.2,2018-08-10 05:29,2018-08-10 17:19,18.73,2,0,21.4,34.9,135,3.3,0,u
2018-08-11,25.7,23.2,28.4,26.2,2018-08-11 05:28,2018-08-11 17:19,18.49,4.6,0,22.9,36,129,3.3,0,u
2018-08-12,27.3,23.9,30.1,26.3,2018-08-12 05:28,2018-08-12 17:19,21.01,0,0,23.2,36.7,126,4.11,0,u
2018-08-13,27.2,23.8,31.2,26.3,2018-08-13 05:28,2018-08-13 17:19,21.9,0,0,20,33.8,127,4.13,0,u
2018-08-14,26.9,24,30.8,27.5,2018-08-14 05:27,2018-08-14 17:19,21.98,0,0,20.4,32.4,131,3.96,0,u
2018-08-15,26.8,23.7,29.6,26.5,2018-08-15 05:27,2018-08-15 17:19,22.47,0,0,22.2,37.4,131,4.17,0,u
2018-08-16,26,23.1,28.7,25.6,2018-08-16 05:27,2018-08-16 17:19,20.15,0.8,0,21.1,36.4,132,3.62,0,u
2018-08-17,24.9,22.5,28.3,25.3,2018-08-17 05:26,2018-08-17 17:19,20.14,3.4,0,17.5,30.6,146,3.48,0,u
2018-08-18,26.1,22.7,29.4,25.3,2018-08-18 05:26,2018-08-18 17:19,20.28,0.9,0,21,36,130,3.5,0,u
2018-08-19,27,23.8,31.5,27.6,2018-08-19 05:25,2018-08-19 17:19,21.83,0,0,18.5,30.6,132,3.93,0,u
2018-08-20,27.2,23.9,31.8,27.6,2018-08-20 05:25,2018-08-20 17:19,22.63,0,0,17.2,28.1,136,4.06,0,u
2018-08-21,27,24.1,31,27.9,2018-08-21 05:24,2018-08-21 17:19,21.1,0,0,17.2,28.4,138,3.82,0,u
2018-08-22,27.1,23.7,30.7,27.6,2018-08-22 05:24,2018-08-22 17:19,22.73,0,0,21.3,34.9,141,4.1,0,u
2018-08-23,27,23.7,30,26.9,2018-08-23 05:24,2018-08-23 17:19,21.76,0,0,21.9,36.4,132,3.95,0,u
2018-08-24,26.8,23.4,29.7,26,2018-08-24 05:23,2018-08-24 17:19,23.48,0,0,21.1,33.8,134,4.39,0,u
2018-08-25,26.8,23.2,30.1,25.3,2018-08-25 05:23,2018-08-25 17:19,23.03,0,0,18.1,31,141,4.41,0,u
2018-08-26,26.9,23.6,30.3,26.5,2018-08-26 05:22,2018-08-26 17:18,22,0,0,21.3,34.9,140,4.06,0,u
2018-08-27,26.8,24,31.2,27.6,2018-08-27 05:22,2018-08-27 17:18,21.23,0.1,0,19.1,31,146,3.86,0,u
2018-08-28,26.5,24.1,30.6,28.5,2018-08-28 05:21,2018-08-28 17:18,21.28,0.3,0,18.8,30.2,155,3.74,0,u
2018-08-29,26,23.5,30.2,27.7,2018-08-29 05:21,2018-08-29 17:18,20.2,1.3,0,17.4,29.9,181,3.52,0,u
2018-08-30,26.3,23.4,30.4,27.6,2018-08-30 05:20,2018-08-30 17:18,20.5,0.8,0,20.9,34.2,161,3.63,0,u
2018-08-31,26.5,23.4,30,26.8,2018-08-31 05:20,2018-08-31 17:18,18.73,4,0,21.1,33.1,139,3.3,0,u
2018-09-01,26.3,24,29.9,27.9,2018-09-01 05:19,2018-09-01 17:18,19.56,5.7,0,21.7,32.4,145,3.32,0,u
2018-09-02,26.2,23.5,30.1,27,2018-09-02 05:18,2018-09-02 17:18,22.78,1.1,0,21.8,35.6,151,3.88,0,u
2018-09-03,25.4,22.9,28.2,25.7,2018-09-03 05:18,2018-09-03 17:18,22.06,0,0,22,37.1,165,3.86,0,u
2018-09-04,25.6,22.6,29.2,26,2018-09-04 05:17,2018-09-04 17:18,22.49,0,0,19.4,33.8,170,3.89,0,u
2018-09-05,26.5,23.4,30.4,27.2,2018-09-05 05:17,2018-09-05 17:18,21.18,3,0,19.3,29.2,148,3.74,0,u
2018-09-06,27.1,23.9,30.9,27.5,2018-09-06 05:16,2018-09-06 17:17,21.86,0,0,20.3,32.8,152,3.94,0,u
2018-09-07,26.8,24.1,30.6,28.3,2018-09-07 05:16,2018-09-07 17:17,22.46,2.1,0,20.5,32,146,3.97,0,u
2018-09-08,27.7,24.2,30.8,27.6,2018-09-08 05:15,2018-09-08 17:17,23.54,0.4,0,24,41,132,4.28,0,u
2018-09-09,27.6,23.8,32,27.5,2018-09-09 05:15,2018-09-09 17:17,24.83,0,0,19.5,34.9,144,4.48,0,u
2018-09-10,27.7,24.5,33.2,29.2,2018-09-10 05:14,2018-09-10 17:17,23.72,0.5,0,16.3,32,150,4.3,0,u
2018-09-11,27.7,24.3,31.7,28.9,2018-09-11 05:13,2018-09-11 17:17,23.56,0.4,0,22.3,38.9,149,4.19,0,u
2018-09-12,26.2,23.4,30.5,26.9,2018-09-12 05:13,2018-09-12 17:17,25.02,0,0,19.2,32.8,194,4.4,0,u
2018-09-13,26.2,23,30,26,2018-09-13 05:12,2018-09-13 17:17,25.55,0,0,18.3,33.8,179,4.61,0,u
2018-09-14,26.3,22.9,29.9,25.6,2018-09-14 05:12,2018-09-14 17:16,25.09,0,0,20.2,33.5,161,4.42,0,u
2018-09-15,26.8,23,30.1,26.1,2018-09-15 05:11,2018-09-15 17:16,23.51,0.6,0,19.7,35.3,142,4.24,0,u
2018-09-16,27.7,24,31.6,27.7,2018-09-16 05:10,2018-09-16 17:16,23.95,0.5,0,21.9,37.4,140,4.31,0,u
2018-09-17,27.1,24.2,32.3,28.6,2018-09-17 05:10,2018-09-17 17:16,23.7,0.7,0,16.6,28.1,156,4.24,0,u
2018-09-18,27.3,24.1,32.3,28.4,2018-09-18 05:09,2018-09-18 17:16,23.7,3.3,0,17.6,30.2,153,4.15,0,u
2018-09-19,27,24.5,32.4,29.2,2018-09-19 05:09,2018-09-19 17:16,22.46,4,0,16.2,28.8,159,3.89,0,u
2018-09-20,27.4,24.7,33.1,29.5,2018-09-20 05:08,2018-09-20 17:16,21.42,0,0,15.2,27.4,138,3.89,0,u
2018-09-21,27.6,25.1,32.5,29.3,2018-09-21 05:08,2018-09-21 17:16,25.08,0,0,18.7,31.3,137,4.57,0,u
2018-09-22,27.7,24.7,33.2,28.5,2018-09-22 05:07,2018-09-22 17:15,25.68,0,0,16.9,30.2,136,4.71,0,u
2018-09-23,27.7,24.6,33,28.9,2018-09-23 05:06,2018-09-23 17:15,23.59,1.6,0,17.7,27.7,132,4.29,0,u
2018-09-24,28.1,24.8,33.6,28.9,2018-09-24 05:06,2018-09-24 17:15,25.1,0,0,18.8,32,138,4.56,0,u
2018-09-25,27.6,24.8,32.9,29.3,2018-09-25 05:05,2018-09-25 17:15,25.36,0,0,18.9,30.2,146,4.55,0,u
2018-09-26,27.8,24.3,32.5,28.5,2018-09-26 05:05,2018-09-26 17:15,26.61,0,0,18.6,30.6,156,4.82,0,u
2018-09-27,27.1,23.7,32,27.5,2018-09-27 05:04,2018-09-27 17:15,26.69,0,0,18.4,32,179,4.7,0,u
2018-09-28,26.8,23.6,32,27.6,2018-09-28 05:04,2018-09-28 17:15,24.92,0.1,0,17.8,31.3,158,4.42,0,u
2018-09-29,27.8,24.4,33.6,29.2,2018-09-29 05:03,2018-09-29 17:15,23.67,2.3,0,14.1,27.4,161,4.34,0,u
2018-09-30,28.3,24.5,33.9,29.3,2018-09-30 05:02,2018-09-30 17:15,25.62,0,0,18.8,32,149,4.68,0,u
2018-10-01,28.6,24.9,33.6,29.5,2018-10-01 05:02,2018-10-01 17:15,25.54,0,0,20.5,31.3,146,4.62,0,u
2018-10-02,28.5,25.2,33.9,29.4,2018-10-02 05:01,2018-10-02 17:14,25.6,0,0,19.4,31,136,4.8,0,u
2018-10-03,28.2,25,32.7,29.1,2018-10-03 05:01,2018-10-03 17:14,25.9,0,0,21.8,34.6,138,4.82,0,u
2018-10-04,28.1,24.7,33.5,29,2018-10-04 05:00,2018-10-04 17:14,26.56,0.2,0,17.3,31,150,4.89,0,u
2018-10-05,27.9,24.9,33.4,30.2,2018-10-05 05:00,2018-10-05 17:14,26.28,1.7,0,17.8,29.5,152,4.8,0,u
2018-10-06,28.5,25.1,33.7,29.5,2018-10-06 04:59,2018-10-06 17:14,25.56,0.1,0,17.8,33.1,141,4.68,0,u
2018-10-07,28.3,25.1,33.5,29.6,2018-10-07 04:59,2018-10-07 17:14,25.58,0.8,0,18.1,32,137,4.68,0,u
2018-10-08,28.6,25,33.2,29.5,2018-10-08 04:58,2018-10-08 17:14,25.95,0.1,0,20.6,36.7,142,4.73,0,u
2018-10-09,28.2,24.9,33.3,29.8,2018-10-09 04:58,2018-10-09 17:14,26.56,0,0,20.2,33.8,163,4.75,0,u
2018-10-10,27.7,25,32.8,29.6,2018-10-10 04:57,2018-10-10 17:14,25.96,1,0,20,33.8,173,4.68,0,u
2018-10-11,28.2,25.1,33.4,29.8,2018-10-11 04:57,2018-10-11 17:14,26.64,0.5,0,21.2,33.5,161,4.76,0,u
2018-10-12,28,25.1,33.6,30.2,2018-10-12 04:56,2018-10-12 17:14,26.72,0,0,19.4,32.4,171,4.79,0,u
2018-10-13,27.6,24.9,33.1,30.1,2018-10-13 04:56,2018-10-13 17:14,24.49,1.1,0,16.2,28.8,197,4.42,0,u
2018-10-14,27.9,24.7,33.5,29.8,2018-10-14 04:55,2018-10-14 17:14,25.53,0.9,0,18.3,33.1,180,4.62,0,u
2018-10-15,28.1,24.7,33.6,29.2,2018-10-15 04:55,2018-10-15 17:14,25.1,1.8,0,16.5,32.4,147,4.57,0,u
2018-10-16,27.5,24.7,33.3,29.3,2018-10-16 04:54,2018-10-16 17:14,25.43,1.1,0,17,28.8,153,4.54,0,u
2018-10-17,27.7,24.2,33.2,29,2018-10-17 04:54,2018-10-17 17:14,26.04,1,0,17.1,29.5,195,4.76,0,u
2018-10-18,27.3,23.9,32.4,28.4,2018-10-18 04:53,2018-10-18 17:14,25.48,0.7,0,20.4,34.9,187,4.5,0,u
2018-10-19,27.3,24.3,31.9,28.7,2018-10-19 04:53,2018-10-19 17:14,26.41,0.4,0,21.2,36.4,176,4.68,0,u
2018-10-20,27.5,24.2,32.9,28.3,2018-10-20 04:53,2018-10-20 17:14,24.94,2.4,0,17.8,30.2,157,4.44,0,u
2018-10-21,27.8,24.8,33.2,28.7,2018-10-21 04:52,2018-10-21 17:14,25.21,0.6,0,17,30.2,159,4.67,0,u
2018-10-22,27.9,24.6,33.2,29.5,2018-10-22 04:52,2018-10-22 17:14,25,0.6,0,19.7,34.6,182,4.46,0,u
2018-10-23,28,24.8,34,30.4,2018-10-23 04:51,2018-10-23 17:14,25.17,0.2,0,17.2,30.6,197,4.6,0,u
2018-10-24,28.3,25,33.7,29.7,2018-10-24 04:51,2018-10-24 17:14,26.32,0,0,20.9,35.3,200,4.85,0,u
2018-10-25,28,25.2,32.7,29.4,2018-10-25 04:51,2018-10-25 17:14,26.03,0,0,22,35.3,183,4.73,0,u
2018-10-26,28.2,24.9,33.6,29.3,2018-10-26 04:50,2018-10-26 17:15,26.12,1.1,0,18.8,31.7,156,4.73,0,u
2018-10-27,28.4,25.2,33.1,29.6,2018-10-27 04:50,2018-10-27 17:15,24.44,1.6,0,22.6,36.4,145,4.43,0,u
2018-10-28,27.8,24.9,33.2,29.6,2018-10-28 04:50,2018-10-28 17:15,25.92,0,0,20,35.3,170,4.71,0,u
2018-10-29,27.8,24.7,32.9,28.8,2018-10-29 04:49,2018-10-29 17:15,26.76,0.1,0,19.1,36.4,164,4.85,0,u
2018-10-30,28.2,24.2,33.2,28.3,2018-10-30 04:49,2018-10-30 17:15,26.62,0,0,19.5,34.2,151,4.97,0,u
2018-10-31,28.6,24.8,32.9,28.5,2018-10-31 04:49,2018-10-31 17:15,26.67,0,0,21,36.7,153,5.06,0,u
2018-11-01,28.1,24.8,33.4,30.1,2018-11-01 04:49,2018-11-01 17:15,26.54,0.2,0,19.5,34.2,167,4.87,0,u
2018-11-02,28.5,25.6,34.1,30.8,2018-11-02 04:48,2018-11-02 17:16,23.59,2.4,0,16.4,31.3,139,4.4,0,u
2018-11-03,29.3,26.1,34.5,30.9,2018-11-03 04:48,2018-11-03 17:16,24.99,3.5,0,25.1,39.6,141,4.63,0,u
2018-11-04,28.6,25.5,35.2,30.1,2018-11-04 04:48,2018-11-04 17:16,24.91,4.3,0,17.3,28.8,135,4.56,0,u
2018-11-05,28.5,26.3,35.5,32,2018-11-05 04:48,2018-11-05 17:16,25.16,2,0,18.1,29.2,147,4.63,0,u
2018-11-06,28.4,25.9,34,31.1,2018-11-06 04:48,2018-11-06 17:17,22.23,2.8,0,18.8,35.3,142,4.1,0,u
2018-11-07,28.2,25.6,34.7,30.7,2018-11-07 04:47,2018-11-07 17:17,21.52,31.2,0,15.9,31.7,138,3.99,0,u
2018-11-08,28.2,25.4,35.8,30.5,2018-11-08 04:47,2018-11-08 17:17,20.74,59.9,0,11.9,26.3,140,3.95,0,u
2018-11-09,28,25.9,33.3,30.7,2018-11-09 04:47,2018-11-09 17:17,14.76,107.9,0,14.6,27.7,127,2.86,0,u
2018-11-10,28.8,25.9,35.6,31,2018-11-10 04:47,2018-11-10 17:18,23.89,6.1,0,15.9,29.9,142,4.42,0,u
2018-11-11,28.6,26,36,31.4,2018-11-11 04:47,2018-11-11 17:18,26.04,3,0,12,22.3,145,4.93,0,u
2018-11-12,28.3,25.8,34.9,31.3,2018-11-12 04:47,2018-11-12 17:18,23.44,3.3,0,18.4,30.6,145,4.28,0,u
2018-11-13,28.5,25.7,34.9,30.5,2018-11-13 04:47,2018-11-13 17:19,23.85,8.5,0,18.4,31,131,4.33,0,u
2018-11-14,29,25.9,36.1,30.9,2018-11-14 04:47,2018-11-14 17:19,25.23,1.4,0,15.5,27.4,135,4.74,0,u
2018-11-15,28.5,25.7,35.3,30.1,2018-11-15 04:47,2018-11-15 17:19,23.73,6.9,0,17.7,29.9,142,4.33,0,u
2018-11-16,28.9,25.7,36,30.7,2018-11-16 04:47,2018-11-16 17:20,25.59,2.7,0,17.4,28.8,161,4.74,0,u
2018-11-17,29.1,26.4,36.6,32.4,2018-11-17 04:47,2018-11-17 17:20,24.76,1.4,0,14.7,27.7,204,4.62,0,u
2018-11-18,29.4,26.3,37,32.6,2018-11-18 04:47,2018-11-18 17:20,23.8,3.5,0,13.5,26.6,233,4.57,0,u
2018-11-19,29.3,26.4,36.3,32,2018-11-19 04:47,2018-11-19 17:21,25.87,0.2,0,20.3,33.5,245,4.83,0,u
2018-11-20,28.9,26.2,35,30.8,2018-11-20 04:47,2018-11-20 17:21,26.28,0.2,0,18.9,30.6,250,4.95,0,u
2018-11-21,29,26.4,35.5,31.3,2018-11-21 04:47,2018-11-21 17:21,24.79,0.4,0,18.3,31.3,243,4.63,0,u
2018-11-22,28,25.6,34.4,30.6,2018-11-22 04:47,2018-11-22 17:22,22.04,2.8,0,16,28.1,238,4.07,0,u
2018-11-23,27.5,25.6,33.3,30.8,2018-11-23 04:47,2018-11-23 17:22,23.79,0.3,0,15.6,25.9,199,4.33,0,u
2018-11-24,27.4,25,33.5,30.2,2018-11-24 04:47,2018-11-24 17:23,22.16,2.5,0,11.8,22.7,154,4.14,0,u
2018-11-25,27.8,25.4,34.7,29.9,2018-11-25 04:48,2018-11-25 17:23,22.47,23.6,0,13.5,27.7,138,4.2,0,u
2018-11-26,28,25.3,34.8,30.3,2018-11-26 04:48,2018-11-26 17:24,21.39,66.1,0,13.1,28.4,149,4.04,0,u
2018-11-27,27.7,25.3,34.3,30.4,2018-11-27 04:48,2018-11-27 17:24,19.04,19,0,12.6,28.4,150,3.64,0,u
2018-11-28,27.6,25.7,33.3,31,2018-11-28 04:48,2018-11-28 17:25,17.31,12.4,0,13.4,24.1,162,3.31,0,u
2018-11-29,27.3,25.6,32.8,31.4,2018-11-29 04:48,2018-11-29 17:25,14.07,5.9,0,13.7,22,161,2.72,0,u
2018-11-30,28.3,25.9,34.7,31.1,2018-11-30 04:49,2018-11-30 17:25,19.94,6.9,0,15.5,29.2,191,3.82,0,u
2018-12-01,28.3,25.5,33.1,30.9,2018-12-01 04:49,2018-12-01 17:26,18.57,1.4,0,16.1,27.7,198,3.58,0,u
2018-12-02,27.8,25.7,33.4,31.1,2018-12-02 04:49,2018-12-02 17:26,21.91,3.1,0,15.7,27,152,4.14,0,u
2018-12-03,27.9,25.8,33.7,30.3,2018-12-03 04:49,2018-12-03 17:27,19.85,11.7,0,15.8,29.2,127,3.8,0,u
2018-12-04,28,25.4,34.2,30.3,2018-12-04 04:50,2018-12-04 17:27,19.85,31.8,0,15.4,30.2,139,3.75,0,u
2018-12-05,28.8,26.1,35.6,31.7,2018-12-05 04:50,2018-12-05 17:28,23.32,12.3,0,18.9,31,132,4.27,0,u
2018-12-06,28.6,26.2,35.8,31.4,2018-12-06 04:50,2018-12-06 17:28,22.76,14.7,0,17.6,30.2,139,4.16,0,u
2018-12-07,29.1,26,36.6,31.4,2018-12-07 04:51,2018-12-07 17:29,24.42,8,0,17.3,28.1,136,4.54,0,u
2018-12-08,28.8,26,36.4,31.6,2018-12-08 04:51,2018-12-08 17:29,24.37,6.1,0,15.5,27.7,199,4.61,0,u
2018-12-09,28.8,26.3,36.1,32.3,2018-12-09 04:51,2018-12-09 17:30,24.2,4.2,0,17.7,31.3,,4.48,0,u
2018-12-10,29.4,27,37.1,32.8,2018-12-10 04:52,2018-12-10 17:30,23.49,1.1,0,17.1,27.4,225,4.33,0,u
2018-12-11,29.2,27,35.5,32.5,2018-12-11 04:52,2018-12-11 17:31,22.51,1.3,0,19.9,34.6,248,4.21,0,u
2018-12-12,29,26.8,35.8,31.8,2018-12-12 04:53,2018-12-12 17:32,22.16,2.5,0,15.2,28.1,257,4.23,0,u
2018-12-13,29.1,26.6,37.1,32.4,2018-12-13 04:53,2018-12-13 17:32,20.85,4.8,0,14.5,27.4,256,4.08,0,u
2018-12-14,29.6,26.6,36.7,32.1,2018-12-14 04:53,2018-12-14 17:33,23.31,5.5,0,17.5,29.5,254,4.48,0,u
2018-12-15,29.4,26.3,35.1,31,2018-12-15 04:54,2018-12-15 17:33,21.78,6.3,0,22.3,35.3,251,4.19,0,u
2018-12-16,28.3,26.2,33.3,30.6,2018-12-16 04:54,2018-12-16 17:34,16.53,2,0,18.6,30.2,241,3.23,0,u
2018-12-17,28.2,26.6,33.6,30.9,2018-12-17 04:55,2018-12-17 17:34,22.92,1.1,0,17.6,31.3,230,4.46,0,u
2018-12-18,28.7,25.8,34.1,30.5,2018-12-18 04:55,2018-12-18 17:35,22.76,2.3,0,17.7,29.2,223,4.37,0,u
2018-12-19,27.6,25.3,32.7,30.3,2018-12-19 04:56,2018-12-19 17:35,17.41,3.6,0,15.1,29.9,187,3.38,0,u
2018-12-20,27.9,25.9,34.4,31.2,2018-12-20 04:56,2018-12-20 17:36,19.6,6.5,0,12.7,29.9,149,3.71,0,u
2018-12-21,29.3,26,37,31.2,2018-12-21 04:57,2018-12-21 17:36,22.01,3.3,0,8.8,25.2,151,4.32,0,u
2018-12-22,28.4,25.3,34.4,30,2018-12-22 04:57,2018-12-22 17:37,18.34,13.2,0,16.1,29.9,225,3.46,0,u
2018-12-23,27.6,25.8,33,30.1,2018-12-23 04:58,2018-12-23 17:37,15.77,10.8,0,14.6,32.8,252,3.02,0,u
2018-12-24,26.4,25.1,30.9,28.9,2018-12-24 04:58,2018-12-24 17:38,13.86,34.3,0,16.8,33.5,246,2.53,0,u
2018-12-25,27.1,26,32.4,30.6,2018-12-25 04:59,2018-12-25 17:38,15.72,11.3,0,18.3,31.7,245,2.97,0,u
2018-12-26,29.1,26,35.3,30.5,2018-12-26 04:59,2018-12-26 17:39,23.06,2.9,0,17.5,29.9,253,4.46,0,u
2018-12-27,29.1,26.1,34.6,30.4,2018-12-27 05:00,2018-12-27 17:39,22.48,2,0,19.4,33.1,260,4.44,0,u
2018-12-28,28.6,26.3,32.5,29.7,2018-12-28 05:00,2018-12-28 17:40,13.95,2.4,0,26.3,42.8,274,3.17,0,u
2018-12-29,29.6,26.3,34.3,30.3,2018-12-29 05:01,2018-12-29 17:40,17.99,0.6,0,22.1,37.1,280,4.14,0,u
2018-12-30,29.3,26.6,35,30.8,2018-12-30 05:01,2018-12-30 17:41,19.47,6,0,21.4,32.8,271,3.97,0,u
2018-12-31,29,26.4,35.8,32.4,2018-12-31 05:02,2018-12-31 17:41,19.65,7.9,0,9.4,28.8,135,3.89,0,u
2019-01-01,28.7,26.1,35.9,31.7,2019-01-01 05:02,2019-01-01 17:41,22.26,11.2,0,11.2,23.8,139,4.26,0,u
2019-01-02,29.3,26.6,36.5,31.2,2019-01-02 05:03,2019-01-02 17:42,19.2,6.5,0,13.4,29.5,280,3.98,0,u
2019-01-03,28,26.2,32.9,31,2019-01-03 05:03,2019-01-03 17:42,10.03,16.1,0,11.1,28.8,288,2.24,0,u
2019-01-04,28.6,26,35.4,31.7,2019-01-04 05:04,2019-01-04 17:42,17.72,7,0,6.5,29.5,353,3.63,0,u
2019-01-05,29,26.6,37.2,32.5,2019-01-05 05:05,2019-01-05 17:43,22.6,1.2,0,8.7,26.3,143,4.51,0,u
2019-01-06,28.7,26.3,35.8,31.9,2019-01-06 05:05,2019-01-06 17:43,23.18,9.4,0,14.6,25.6,151,4.32,0,u
2019-01-07,28.9,25.9,36.1,31.6,2019-01-07 05:06,2019-01-07 17:43,24.78,3.9,0,16.1,29.2,172,4.67,0,u
2019-01-08,28.6,25.9,35.4,31.7,2019-01-08 05:06,2019-01-08 17:44,24.34,1.9,0,16.4,28.8,217,4.53,0,u
2019-01-09,29.2,26.7,37.8,32.6,2019-01-09 05:07,2019-01-09 17:44,25.96,10.2,0,10.6,23,233,5,0,u
2019-01-10,29.4,26.7,37.8,32.9,2019-01-10 05:07,2019-01-10 17:44,25.76,2.3,0,9.8,22.3,169,5.06,0,u
2019-01-11,29.5,26.1,37.7,32,2019-01-11 05:08,2019-01-11 17:45,25.54,5,0,12.2,30.6,208,4.91,0,u
2019-01-12,28.9,26.6,36.5,32.7,2019-01-12 05:08,2019-01-12 17:45,23.67,9.6,0,14.5,29.9,183,4.46,0,u
2019-01-13,28.8,26.1,36.3,31.4,2019-01-13 05:09,2019-01-13 17:45,24.97,4,0,12.4,25.2,167,4.72,0,u
2019-01-14,29.5,26.5,37.1,32.5,2019-01-14 05:09,2019-01-14 17:46,21.07,7.7,0,14.8,26.6,255,4.09,0,u
2019-01-15,29,26,35.5,31.5,2019-01-15 05:10,2019-01-15 17:46,17.54,8.8,0,15.9,27,265,3.42,0,u
2019-01-16,27.1,25.7,32.3,30.2,2019-01-16 05:10,2019-01-16 17:46,5.42,92,0,13.7,27.7,283,1.39,0,u
2019-01-17,28.3,25.9,33.8,30.3,2019-01-17 05:11,2019-01-17 17:46,16.18,9.6,0,15.8,38.9,272,3.22,0,u
2019-01-18,28.7,26.5,35.1,31.5,2019-01-18 05:11,2019-01-18 17:46,13.78,7.1,0,7.9,20.5,84,2.91,0,u
2019-01-19,29,26.6,36.6,32.3,2019-01-19 05:12,2019-01-19 17:47,22.94,4,0,12.7,29.2,192,4.38,0,u
2019-01-20,29.3,25.8,36.7,31.7,2019-01-20 05:12,2019-01-20 17:47,23.45,3,0,17.8,29.5,252,4.43,0,u
2019-01-21,28.1,26,34.2,30.9,2019-01-21 05:12,2019-01-21 17:47,20.61,11.8,0,16.5,34.9,263,3.81,0,u
2019-01-22,28,25.9,31.3,29.7,2019-01-22 05:13,2019-01-22 17:47,12.26,24.6,0,24.5,44.3,273,2.41,0,u
2019-01-23,28.3,26.4,33.4,30.1,2019-01-23 05:13,2019-01-23 17:47,9.53,9,0,21.6,44.6,280,2.51,0,u
2019-01-24,28.7,26.3,32.5,29.1,2019-01-24 05:14,2019-01-24 17:47,15.46,5.9,0,28.8,60.1,283,3.4,0,u
2019-01-25,29.3,26.3,34.5,29.1,2019-01-25 05:14,2019-01-25 17:47,20.82,7,0,25.8,51.5,285,4.38,0,u
2019-01-26,29.3,27.3,36,32,2019-01-26 05:15,2019-01-26 17:47,22.85,5.7,0,15.5,43.9,284,4.65,0,u
2019-01-27,29.1,26.7,37.1,31.9,2019-01-27 05:15,2019-01-27 17:47,20.44,13.2,0,10.5,26.3,343,4.3,0,u
2019-01-28,29.6,27,37.1,31.6,2019-01-28 05:15,2019-01-28 17:47,19.38,2,0,11.5,27.4,54,4.14,0,u
2019-01-29,29.5,26.5,36.5,32.4,2019-01-29 05:16,2019-01-29 17:47,20.87,0.7,0,9.3,21.6,132,4.21,0,u
2019-01-30,29.7,27.3,37.6,33.2,2019-01-30 05:16,2019-01-30 17:47,24.47,7,0,11.9,26.6,105,4.83,0,u
